x,Customers/tick,CustomerServed vs. ticks,CustomersWait vs. ticks,Benefit per tick,Cost per tick
0,0,0,0,0,3
1,0,0,0,0,6
2,0,0,0,0,9
3,1,0,0,0,12
4,1,0,1,0,15
5,2,0,2,0,18
6,2,0,4,0,21
7,1,1,5,1,24
8,1,1,6,1,27
9,1,1,7,1,30
10,1,1,8,1,33
11,1,1,9,1,36
12,1,1,10,1,39
13,0,2,10,2,42
14,1,2,10,2,45
15,1,2,11,2,48
16,2,2,12,2,51
17,2,2,14,2,54
18,2,2,16,2,57
19,2,2,18,2,60
20,1,3,19,3,63
21,2,3,20,3,66
22,4,3,22,3,69
23,4,3,26,3,72
24,3,3,30,3,85
25,3,3,33,3,88
26,2,4,35,4,91
27,2,4,37,4,94
28,2,4,39,4,97
29,1,5,40,5,100
30,1,5,41,5,113
31,2,5,42,5,116
32,3,5,44,5,119
33,4,5,47,5,122
34,3,6,50,6,125
35,3,6,53,6,128
36,3,6,56,6,131
37,3,6,59,6,134
38,3,6,62,6,137
39,2,7,64,7,140
40,2,7,66,7,153
41,1,7,68,7,166
42,1,7,69,7,169
43,0,8,69,8,172
44,0,8,69,8,175
45,0,8,69,8,178
46,0,8,69,8,181
47,0,8,69,8,184
48,1,8,69,8,187
49,1,9,69,9,190
